16.4,20.11,0.699,8.07,0.0105
14.1,15.5,3.0,20.1,0.186,Boron Nitride Nanotube Composite
5.24,14.8,3.12,11.8,0.182,Boron Nitride Nanotube Composite
13.8,15.2,2.92,20.0,0.164,Boron Nitride Nanotube Composite
6.39,18.9,4.42,12.6,0.346,Graphene Nanoplatelet Thermal Interface Material
7.56,22.1,4.45,12.3,0.351,Graphene-Coated Carbon Fiber Sheet
5.9,22.4,4.58,6.65,0.384,Boron Nitride Nanotube Composite
13.9,16.2,2.99,20.0,0.188,Boron Nitride Nanotube Composite
6.06,13.2,7.42,10.2,1.05,Graphene-Coated Carbon Fiber Sheet
15.1,16.5,3.6,20.3,0.289,Boron Nitride Nanotube Composite
6.05,22.6,3.03,1.68,0.174,Graphene Nanoplatelet Thermal Interface Material
14.1,17.1,3.0,20.0,0.185,Silicon Oxycarbide Shield Tile
5.28,21.4,4.31,4.63,0.337,Nanocrystalline Diamond Thermal Spreader
14.1,17.1,3.04,20.0,0.192,Silicon Oxycarbide Shield Tile
12.9,19.8,1.7,19.0,0.0554,Nanocrystalline Diamond Thermal Spreader
9.36,20.2,2.02,16.4,0.0744,Aerogel-Infused Carbon Fiber Panel
13.3,21.9,5.0,17.7,0.515,Reinforced Carbon-Carbon (RCC) Shield Tile
13.9,13.3,2.52,20.0,0.119,Graphene-Coated Carbon Fiber Sheet
10.5,21.0,5.58,16.1,0.619,Boron Nitride Nanotube Composite
9.11,22.3,1.13,15.0,0.0248,Boron Nitride Nanotube Composite
13.2,20.7,2.09,18.8,0.0925,Graphene-Coated Carbon Fiber Sheet
8.46,20.8,3.94,14.8,0.352,Diamond-Like Carbon (DLC) Coated Radiator
4.75,20.3,3.96,4.92,0.3,Boron Nitride Nanotube Composite
14.0,17.0,3.01,20.0,0.184,Silicon Oxycarbide Shield Tile
13.8,16.3,2.94,20.0,0.165,Graphene Nanoplatelet Thermal Interface Material
5.41,12.7,1.82,12.1,0.0634,Boron Nitride Nanotube Composite
5.82,22.8,3.68,6.16,0.24,Graphene-Coated Carbon Fiber Sheet
7.9,22.2,3.55,13.2,0.329,Diamond-Like Carbon (DLC) Coated Radiator
6.24,21.6,1.91,11.2,0.071,Boron Nitride Nanotube Composite
4.98,20.8,4.23,4.69,0.309,Graphene-Coated Carbon Fiber Sheet
19.9,8.11,4.92,19.1,0.457,Diamond-Like Carbon (DLC) Coated Radiator
5.29,21.4,2.64,2.03,0.131,Boron Nitride Nanotube Composite
4.55,16.7,6.1,5.94,0.77,Diamond-Like Carbon (DLC) Coated Radiator
6.53,22.3,3.85,10.4,0.26,Boron Nitride Nanotube Composite
13.8,17.9,4.12,19.6,0.365,Boron Nitride Nanotube Composite
5.5,22.1,4.13,5.22,0.304,Phenolic Impregnated Carbon Ablator (PICA)
11.1,8.98,3.71,17.0,0.426,Boron Nitride Nanotube Composite
6.0,22.4,5.21,6.52,0.495,Graphene-Coated Carbon Fiber Sheet
6.25,20.0,4.63,11.7,0.388,Graphene-Coated Carbon Fiber Sheet
4.87,18.2,5.7,2.45,0.906,Boron Nitride Nanotube Composite
5.69,22.1,3.14,8.54,0.181,Silicon Oxycarbide Shield Tile
7.84,20.7,2.55,14.5,0.19,Boron Nitride Nanotube Composite
14.1,22.2,3.32,18.4,0.212,Nanocrystalline Diamond Thermal Spreader
5.65,22.5,3.79,6.36,0.293,Reinforced Carbon-Carbon (RCC) Shield Tile
7.57,21.9,8.94,6.52,1.75,Graphene-Coated Carbon Fiber Sheet
8.86,19.8,4.62,15.6,0.541,Reinforced Carbon-Carbon (RCC) Shield Tile
5.45,21.9,1.72,8.64,0.0551,Boron Nitride Nanotube Composite
5.54,21.8,4.87,6.13,0.514,Boron Nitride Nanotube Composite
7.25,17.5,2.99,15.0,0.399,Graphene Nanoplatelet Thermal Interface Material
9.21,21.6,5.33,14.7,0.716,Reinforced Carbon-Carbon (RCC) Shield Tile
10.6,18.4,2.13,18.1,0.0989,Silicon Oxycarbide Shield Tile
5.59,22.3,4.23,5.83,0.344,Graphene Nanoplatelet Thermal Interface Material
5.72,22.2,4.75,3.81,0.398,Graphene Nanoplatelet Thermal Interface Material
5.59,22.7,2.88,3.85,0.149,Graphene Nanoplatelet Thermal Interface Material
13.9,16.2,3.09,20.1,0.202,Boron Nitride Nanotube Composite
13.6,16.2,2.95,20.0,0.165,Boron Nitride Nanotube Composite
6.4,22.8,4.66,8.76,0.377,Graphene-Coated Carbon Fiber Sheet
4.98,20.1,5.4,4.55,0.622,Boron Nitride Nanotube Composite
10.7,22.4,4.67,15.9,0.574,Reinforced Carbon-Carbon (RCC) Shield Tile
8.93,12.8,3.2,16.8,0.226,Boron Nitride Nanotube Composite
7.22,16.0,4.27,14.9,0.351,Silicon Oxycarbide Shield Tile
6.39,20.3,4.64,11.9,0.408,Diamond-Like Carbon (DLC) Coated Radiator
7.22,18.7,6.91,12.8,0.874,Reinforced Carbon-Carbon (RCC) Shield Tile
8.67,21.9,5.88,13.6,0.895,Reinforced Carbon-Carbon (RCC) Shield Tile
12.3,21.8,2.52,17.9,0.12,Boron Nitride Nanotube Composite
4.44,14.0,5.44,3.12,1.81,Boron Nitride Nanotube Composite
5.52,22.8,2.4,4.24,0.106,Boron Nitride Nanotube Composite
6.43,22.5,3.32,10.4,0.192,Boron Nitride Nanotube Composite
14.1,22.9,0.706,18.3,0.00993,Zirconium Dioxide Ceramic Heat Sink
9.74,17.2,4.81,17.2,0.787,Boron Nitride Nanotube Composite
5.53,22.7,3.25,5.35,0.187,Graphene-Coated Carbon Fiber Sheet
13.5,22.6,0.422,18.2,0.00387,Zirconium Dioxide Ceramic Heat Sink
7.35,20.9,6.72,11.8,0.954,Graphene-Coated Carbon Fiber Sheet
5.17,21.5,3.22,7.75,0.196,Diamond-Like Carbon (DLC) Coated Radiator
8.06,22.9,2.9,13.2,0.149,Graphene-Coated Carbon Fiber Sheet
5.22,21.2,3.51,8.41,0.216,Boron Nitride Nanotube Composite
10.5,8.02,3.29,16.2,0.364,Boron Nitride Nanotube Composite
11.4,21.7,6.24,16.3,0.828,Reinforced Carbon-Carbon (RCC) Shield Tile
4.45,13.6,5.5,2.62,0.529,Graphene-Coated Carbon Fiber Sheet
6.64,20.7,2.59,12.9,0.125,Boron Nitride Nanotube Composite
7.69,20.6,2.0,14.6,0.0893,Diamond-Like Carbon (DLC) Coated Radiator
8.21,22.0,3.95,13.9,0.289,Graphene Nanoplatelet Thermal Interface Material
6.88,21.6,3.06,12.5,0.182,Phenolic Impregnated Carbon Ablator (PICA)
8.18,14.1,5.05,15.8,0.454,Graphene-Coated Carbon Fiber Sheet
7.57,22.5,8.22,7.48,2.22,Graphene-Coated Carbon Fiber Sheet
13.7,16.5,2.87,20.1,0.16,Graphene-Coated Carbon Fiber Sheet
13.8,16.5,3.17,20.1,0.216,Silicon Oxycarbide Shield Tile
5.66,22.2,4.42,7.44,0.368,Silicon Oxycarbide Shield Tile
6.69,19.9,3.47,13.3,0.344,Aerogel-Infused Carbon Fiber Panel
9.1,15.9,3.53,17.2,0.233,Graphene-Coated Carbon Fiber Sheet
10.9,20.2,2.47,17.8,0.125,Diamond-Like Carbon (DLC) Coated Radiator
7.69,19.8,3.73,14.7,0.459,Graphene Nanoplatelet Thermal Interface Material
6.8,21.7,2.67,12.4,0.127,Graphene Nanoplatelet Thermal Interface Material
10.2,21.1,3.47,16.7,0.212,Reinforced Carbon-Carbon (RCC) Shield Tile
13.6,15.9,2.95,20.1,0.189,Boron Nitride Nanotube Composite
6.93,19.0,3.58,14.1,0.232,Phenolic Impregnated Carbon Ablator (PICA)
13.5,16.5,3.09,20.0,0.18,Graphene-Coated Carbon Fiber Sheet
7.16,18.1,2.38,15.0,0.108,Boron Nitride Nanotube Composite
11.5,21.3,1.72,17.8,0.0645,Graphene-Coated Carbon Fiber Sheet
11.9,18.4,3.76,18.8,0.276,Boron Nitride Nanotube Composite
14.2,17.1,3.21,20.2,0.219,Boron Nitride Nanotube Composite
7.28,20.1,4.36,13.8,0.344,Phenolic Impregnated Carbon Ablator (PICA)
13.5,17.3,2.44,20.0,0.111,Graphene-Coated Carbon Fiber Sheet
10.0,17.6,6.33,16.8,0.991,Graphene-Coated Carbon Fiber Sheet
13.5,15.4,2.86,20.1,0.16,Boron Nitride Nanotube Composite
9.11,13.9,3.89,17.1,0.349,Boron Nitride Nanotube Composite
4.69,17.4,6.42,7.05,0.851,Diamond-Like Carbon (DLC) Coated Radiator
13.7,21.1,1.37,19.1,0.0365,Graphene-Coated Carbon Fiber Sheet
4.55,19.6,3.39,8.24,0.235,Boron Nitride Nanotube Composite
6.22,14.0,8.48,9.84,1.79,Diamond-Like Carbon (DLC) Coated Radiator
6.34,21.9,5.82,1.11,0.619,Graphene Nanoplatelet Thermal Interface Material
5.89,22.8,2.49,8.85,0.11,Boron Nitride Nanotube Composite
6.13,19.8,3.64,12.4,0.237,Reinforced Carbon-Carbon (RCC) Shield Tile
11.1,20.3,4.2,17.6,0.543,Boron Nitride Nanotube Composite
13.4,16.7,2.86,20.0,0.175,Boron Nitride Nanotube Composite
8.91,20.7,2.11,16.0,0.0821,Boron Nitride Nanotube Composite
13.5,15.9,2.91,20.1,0.173,Boron Nitride Nanotube Composite
8.04,19.5,4.15,15.2,0.408,Reinforced Carbon-Carbon (RCC) Shield Tile
8.17,13.9,6.02,15.4,0.83,Boron Nitride Nanotube Composite
6.56,19.7,2.72,13.5,0.14,Diamond-Like Carbon (DLC) Coated Radiator
16.8,20.3,4.36,20.0,0.354,Aerogel-Infused Carbon Fiber Panel
13.6,17.6,2.71,20.0,0.14,Nanocrystalline Diamond Thermal Spreader
16.5,16.8,3.37,20.9,0.217,Boron Nitride Nanotube Composite
5.94,21.8,3.19,10.4,0.184,Phenolic Impregnated Carbon Ablator (PICA)
7.98,16.3,4.03,16.0,0.69,Graphene Nanoplatelet Thermal Interface Material
13.2,15.5,2.89,20.0,0.169,Graphene Nanoplatelet Thermal Interface Material
8.17,20.2,5.63,14.4,0.888,Graphene-Coated Carbon Fiber Sheet
12.7,22.6,0.911,17.9,0.0165,Zirconium Dioxide Ceramic Heat Sink
14.1,18.8,2.3,20.0,0.1,Graphene-Coated Carbon Fiber Sheet
7.58,21.0,7.2,11.9,0.957,Boron Nitride Nanotube Composite
5.24,21.7,2.72,1.96,0.136,Boron Nitride Nanotube Composite
7.0,22.7,2.62,11.9,0.125,Boron Nitride Nanotube Composite
13.2,16.0,8.43,18.0,1.76,Boron Nitride Nanotube Composite
4.41,16.8,6.27,4.67,0.744,Diamond-Like Carbon (DLC) Coated Radiator
6.88,21.7,2.96,12.6,0.159,Boron Nitride Nanotube Composite
7.8,13.8,2.72,16.1,0.143,Boron Nitride Nanotube Composite
15.5,21.1,2.66,19.7,0.149,Boron Nitride Nanotube Composite
5.39,22.3,4.04,4.43,0.323,Graphene Nanoplatelet Thermal Interface Material
5.53,21.6,5.62,3.93,0.604,Graphene Nanoplatelet Thermal Interface Material
4.61,20.6,3.86,4.83,0.265,Phenolic Impregnated Carbon Ablator (PICA)
10.0,22.3,1.38,16.2,0.0371,Aerogel-Infused Carbon Fiber Panel
7.63,17.5,4.23,15.4,0.457,Boron Nitride Nanotube Composite
11.7,17.1,4.22,18.9,0.394,Reinforced Carbon-Carbon (RCC) Shield Tile
5.49,22.6,3.89,5.91,0.277,Boron Nitride Nanotube Composite
5.38,21.4,1.68,9.88,0.051,Boron Nitride Nanotube Composite
6.2,22.6,3.98,9.67,0.285,Boron Nitride Nanotube Composite
15.4,21.5,3.51,19.4,0.259,Nanocrystalline Diamond Thermal Spreader
10.5,21.6,6.02,15.9,0.874,Reinforced Carbon-Carbon (RCC) Shield Tile
9.29,16.7,4.65,17.1,0.777,Boron Nitride Nanotube Composite
7.18,20.7,1.22,14.1,0.0285,Boron Nitride Nanotube Composite
7.66,21.7,2.27,14.0,0.114,Boron Nitride Nanotube Composite
6.07,22.7,3.57,9.39,0.235,Phenolic Impregnated Carbon Ablator (PICA)
17.2,7.61,2.04,19.4,0.0815,Silicon Oxycarbide Shield Tile
4.76,19.7,4.3,1.78,0.343,Phenolic Impregnated Carbon Ablator (PICA)
9.58,22.3,4.39,15.3,0.356,Graphene-Coated Carbon Fiber Sheet
6.48,21.8,3.67,11.6,0.249,Phenolic Impregnated Carbon Ablator (PICA)
13.5,14.4,3.92,20.0,0.323,Reinforced Carbon-Carbon (RCC) Shield Tile
16.3,19.8,0.671,20.5,0.0107,Zirconium Dioxide Ceramic Heat Sink
13.4,18.0,1.58,20.0,0.0492,Graphene-Coated Carbon Fiber Sheet
6.0,22.3,2.92,10.2,0.165,Phenolic Impregnated Carbon Ablator (PICA)
5.09,22.1,3.12,6.29,0.176,Graphene-Coated Carbon Fiber Sheet
5.38,19.8,7.26,4.67,1.0,Graphene-Coated Carbon Fiber Sheet
5.66,22.3,4.98,6.99,0.484,Reinforced Carbon-Carbon (RCC) Shield Tile
7.83,19.9,6.4,13.8,0.952,Diamond-Like Carbon (DLC) Coated Radiator
5.63,22.3,3.14,1.47,0.201,Boron Nitride Nanotube Composite
9.16,22.1,1.66,15.6,0.0504,Aerogel-Infused Carbon Fiber Panel
7.19,23.0,4.99,11.0,0.459,Graphene Nanoplatelet Thermal Interface Material
6.04,22.5,3.06,10.0,0.168,Nanocrystalline Diamond Thermal Spreader
13.3,14.5,2.99,20.1,0.189,Boron Nitride Nanotube Composite
6.31,22.6,4.64,9.64,0.451,Graphene Nanoplatelet Thermal Interface Material
9.49,17.3,5.08,17.1,0.686,Graphene-Coated Carbon Fiber Sheet
4.98,21.4,3.64,7.47,0.26,Diamond-Like Carbon (DLC) Coated Radiator
6.11,19.7,7.28,9.82,1.27,Diamond-Like Carbon (DLC) Coated Radiator
5.39,21.7,1.82,9.65,0.0615,Boron Nitride Nanotube Composite
6.16,21.4,2.48,11.8,0.121,Boron Nitride Nanotube Composite
7.86,22.1,4.51,13.4,0.465,Boron Nitride Nanotube Composite
13.9,20.6,2.82,19.4,0.177,Boron Nitride Nanotube Composite
15.8,18.4,3.3,20.6,0.206,Boron Nitride Nanotube Composite
4.27,13.0,5.06,3.31,2.15,Boron Nitride Nanotube Composite
10.2,17.4,2.15,18.3,0.109,Boron Nitride Nanotube Composite
5.57,22.2,5.08,3.75,0.485,Diamond-Like Carbon (DLC) Coated Radiator
7.17,9.72,5.29,13.1,0.51,Phenolic Impregnated Carbon Ablator (PICA)
6.2,22.8,3.02,10.1,0.162,Boron Nitride Nanotube Composite
6.74,22.2,3.76,11.8,0.261,Silicon Oxycarbide Shield Tile
4.92,21.7,3.68,4.8,0.262,Diamond-Like Carbon (DLC) Coated Radiator
10.8,22.8,2.92,16.5,0.153,Graphene Nanoplatelet Thermal Interface Material
5.33,13.8,3.24,12.6,0.217,Boron Nitride Nanotube Composite
8.73,22.9,3.01,14.4,0.161,Graphene-Coated Carbon Fiber Sheet
5.77,22.9,3.69,7.95,0.237,Reinforced Carbon-Carbon (RCC) Shield Tile
5.21,19.6,6.54,7.87,0.995,Graphene Nanoplatelet Thermal Interface Material
9.9,16.4,2.41,18.2,0.121,Boron Nitride Nanotube Composite
5.87,20.9,5.49,10.1,0.582,Boron Nitride Nanotube Composite
8.74,22.3,4.07,14.6,0.308,Graphene-Coated Carbon Fiber Sheet
18.0,14.9,0.589,21.5,0.00781,Zirconium Dioxide Ceramic Heat Sink
6.68,19.5,8.6,9.67,1.62,Silicon Oxycarbide Shield Tile
10.6,21.7,6.33,15.9,0.792,Reinforced Carbon-Carbon (RCC) Shield Tile
6.4,21.2,5.26,11.3,0.532,Phenolic Impregnated Carbon Ablator (PICA)
4.94,19.5,5.81,8.14,0.625,Reinforced Carbon-Carbon (RCC) Shield Tile
4.86,20.8,4.02,2.43,0.326,Diamond-Like Carbon (DLC) Coated Radiator
13.3,15.9,2.56,20.2,0.125,Boron Nitride Nanotube Composite
6.45,10.8,6.56,11.7,0.766,Reinforced Carbon-Carbon (RCC) Shield Tile
18.8,16.8,0.803,21.5,0.0129,Zirconium Dioxide Ceramic Heat Sink
4.8,20.7,2.45,1.42,0.125,Boron Nitride Nanotube Composite
5.34,22.9,2.57,4.24,0.118,Boron Nitride Nanotube Composite
8.83,20.0,1.73,16.5,0.064,Aerogel-Infused Carbon Fiber Panel
4.86,20.5,5.28,3.78,0.636,Diamond-Like Carbon (DLC) Coated Radiator
6.43,22.6,3.65,10.8,0.255,Graphene Nanoplatelet Thermal Interface Material
8.85,19.9,7.69,14.3,1.37,Silicon Oxycarbide Shield Tile
6.16,22.9,2.68,10.1,0.135,Graphene Nanoplatelet Thermal Interface Material
6.03,17.2,2.73,13.9,0.147,Boron Nitride Nanotube Composite
7.59,22.8,3.07,13.0,0.165,Graphene-Coated Carbon Fiber Sheet
5.09,21.8,3.59,2.83,0.225,Graphene-Coated Carbon Fiber Sheet
6.15,16.2,7.15,12.0,0.891,Nanocrystalline Diamond Thermal Spreader
4.71,10.1,2.32,9.35,0.101,Boron Nitride Nanotube Composite
5.12,22.6,2.39,4.6,0.103,Boron Nitride Nanotube Composite
9.8,18.9,4.74,17.2,0.436,Graphene-Coated Carbon Fiber Sheet
8.95,21.2,2.33,16.0,0.11,Diamond-Like Carbon (DLC) Coated Radiator
5.53,19.8,7.72,6.34,1.11,Reinforced Carbon-Carbon (RCC) Shield Tile
6.35,21.9,4.61,11.0,0.398,Graphene Nanoplatelet Thermal Interface Material
11.2,21.9,9.22,14.2,2.07,Graphene-Coated Carbon Fiber Sheet
10.2,22.4,4.35,16.0,0.517,Reinforced Carbon-Carbon (RCC) Shield Tile
4.27,17.8,3.35,0.777,0.216,Boron Nitride Nanotube Composite
13.0,15.3,2.86,20.1,0.153,Graphene-Coated Carbon Fiber Sheet
4.6,20.6,2.99,8.21,0.163,Graphene Nanoplatelet Thermal Interface Material
5.61,20.7,2.36,11.5,0.0981,Diamond-Like Carbon (DLC) Coated Radiator
4.47,13.0,6.67,4.76,0.994,Diamond-Like Carbon (DLC) Coated Radiator
7.1,21.6,7.65,0.273,1.34,Phenolic Impregnated Carbon Ablator (PICA)
11.4,22.8,2.53,17.1,0.115,Graphene Nanoplatelet Thermal Interface Material
15.8,18.9,5.72,20.0,0.668,Boron Nitride Nanotube Composite
4.91,21.4,1.73,1.63,0.0547,Graphene-Coated Carbon Fiber Sheet
5.87,22.6,2.61,0.518,0.131,Boron Nitride Nanotube Composite
5.44,22.8,3.89,4.17,0.28,Phenolic Impregnated Carbon Ablator (PICA)
12.8,16.2,2.81,20.0,0.171,Boron Nitride Nanotube Composite
7.01,22.0,3.06,12.9,0.191,Diamond-Like Carbon (DLC) Coated Radiator
11.7,22.5,1.4,17.6,0.037,Boron Nitride Nanotube Composite
8.79,22.4,1.55,15.2,0.0456,Graphene-Coated Carbon Fiber Sheet
5.11,21.0,2.6,0.532,0.126,Boron Nitride Nanotube Composite
6.35,22.0,7.58,6.49,1.2,Graphene-Coated Carbon Fiber Sheet
16.5,20.4,0.813,20.5,0.0139,Zirconium Dioxide Ceramic Heat Sink
5.59,18.6,7.02,9.94,1.28,Boron Nitride Nanotube Composite
8.58,20.2,2.95,16.1,0.157,Phenolic Impregnated Carbon Ablator (PICA)
6.7,21.1,1.5,13.4,0.042,Graphene-Coated Carbon Fiber Sheet
5.66,22.4,3.4,9.25,0.235,Nanocrystalline Diamond Thermal Spreader
4.96,21.6,3.38,7.9,0.206,Boron Nitride Nanotube Composite
11.0,11.9,0.785,18.8,0.0124,Graphene-Coated Carbon Fiber Sheet
10.7,15.9,2.55,18.9,0.121,Graphene-Coated Carbon Fiber Sheet
7.96,21.4,6.2,13.4,0.952,Graphene-Coated Carbon Fiber Sheet
7.11,21.5,6.02,12.1,0.725,Diamond-Like Carbon (DLC) Coated Radiator
9.05,17.0,4.59,17.1,0.774,Boron Nitride Nanotube Composite
6.07,22.7,3.56,10.0,0.227,Boron Nitride Nanotube Composite
12.7,17.9,3.89,19.6,0.332,Boron Nitride Nanotube Composite
7.17,21.5,2.81,13.7,0.141,Reinforced Carbon-Carbon (RCC) Shield Tile
12.6,18.7,2.54,19.6,0.127,Silicon Oxycarbide Shield Tile
8.91,21.5,4.17,15.5,0.346,Reinforced Carbon-Carbon (RCC) Shield Tile
5.12,20.3,4.4,9.91,0.351,Graphene-Coated Carbon Fiber Sheet
12.0,14.5,1.16,19.8,0.0306,Aerogel-Infused Carbon Fiber Panel
5.21,22.8,2.73,3.8,0.136,Boron Nitride Nanotube Composite
7.1,21.5,6.12,12.1,0.707,Boron Nitride Nanotube Composite
5.75,22.8,4.44,8.11,0.348,Graphene-Coated Carbon Fiber Sheet
9.17,14.4,1.6,17.9,0.0495,Graphene-Coated Carbon Fiber Sheet
9.23,18.5,7.67,15.5,1.45,Phenolic Impregnated Carbon Ablator (PICA)
5.36,22.3,4.75,6.89,0.391,Reinforced Carbon-Carbon (RCC) Shield Tile
4.4,20.8,3.63,4.33,0.234,Boron Nitride Nanotube Composite
15.9,15.3,0.659,21.3,0.0092,Zirconium Dioxide Ceramic Heat Sink
14.7,21.7,3.18,19.4,0.233,Nanocrystalline Diamond Thermal Spreader
17.4,16.9,0.913,21.5,0.016,Zirconium Dioxide Ceramic Heat Sink
5.88,20.7,2.84,12.2,0.149,Graphene Nanoplatelet Thermal Interface Material
5.16,21.5,5.65,4.7,0.661,Boron Nitride Nanotube Composite
5.34,20.7,4.46,10.2,0.373,Phenolic Impregnated Carbon Ablator (PICA)
10.0,22.0,5.75,15.7,0.803,Graphene Nanoplatelet Thermal Interface Material
6.77,18.9,3.14,14.6,0.241,Silicon Oxycarbide Shield Tile
11.4,22.7,4.74,16.8,0.452,Boron Nitride Nanotube Composite
11.2,21.9,3.37,17.5,0.226,Phenolic Impregnated Carbon Ablator (PICA)
5.93,22.4,2.84,10.6,0.145,Graphene-Coated Carbon Fiber Sheet
15.6,14.0,1.21,21.2,0.0331,Graphene-Coated Carbon Fiber Sheet
5.22,22.5,3.38,7.57,0.204,Graphene Nanoplatelet Thermal Interface Material
5.83,22.8,2.44,9.91,0.107,Boron Nitride Nanotube Composite
5.17,20.3,5.46,1.09,0.544,Phenolic Impregnated Carbon Ablator (PICA)
4.67,21.9,2.73,4.44,0.132,Boron Nitride Nanotube Composite
5.37,15.3,9.15,5.81,1.46,Nanocrystalline Diamond Thermal Spreader
8.25,20.0,6.56,14.6,1.09,Reinforced Carbon-Carbon (RCC) Shield Tile
13.0,22.2,4.04,18.3,0.314,Reinforced Carbon-Carbon (RCC) Shield Tile
4.93,22.6,2.1,4.42,0.0794,Graphene-Coated Carbon Fiber Sheet
12.5,17.2,0.389,20.0,0.00343,Zirconium Dioxide Ceramic Heat Sink
4.74,21.8,3.48,4.07,0.313,Boron Nitride Nanotube Composite
4.48,17.0,6.59,8.06,0.754,Graphene-Coated Carbon Fiber Sheet
8.55,19.4,2.0,16.7,0.0843,Diamond-Like Carbon (DLC) Coated Radiator
11.8,20.2,1.57,18.9,0.0464,Graphene-Coated Carbon Fiber Sheet
5.51,22.2,4.83,8.36,0.402,Reinforced Carbon-Carbon (RCC) Shield Tile
5.65,21.9,1.81,10.9,0.0595,Boron Nitride Nanotube Composite
12.6,17.0,2.75,20.0,0.141,Graphene-Coated Carbon Fiber Sheet
5.12,22.7,3.55,4.8,0.237,Graphene Nanoplatelet Thermal Interface Material
5.07,22.1,3.04,8.33,0.187,Boron Nitride Nanotube Composite
10.2,19.3,2.61,18.1,0.159,Silicon Oxycarbide Shield Tile
4.89,20.7,5.08,8.24,0.578,Nanocrystalline Diamond Thermal Spreader
6.63,22.4,2.7,12.3,0.138,Boron Nitride Nanotube Composite
12.5,21.4,7.32,17.2,1.32,Graphene-Coated Carbon Fiber Sheet
16.0,19.8,5.0,20.2,0.487,Diamond-Like Carbon (DLC) Coated Radiator
7.48,14.9,6.11,15.2,0.696,Graphene Nanoplatelet Thermal Interface Material
8.29,16.1,2.09,17.2,0.082,Diamond-Like Carbon (DLC) Coated Radiator
10.5,17.2,3.29,18.7,0.323,Boron Nitride Nanotube Composite
4.86,10.6,6.79,4.67,0.81,Reinforced Carbon-Carbon (RCC) Shield Tile
5.82,22.5,3.48,10.1,0.22,Graphene Nanoplatelet Thermal Interface Material
5.9,22.2,3.94,10.5,0.274,Boron Nitride Nanotube Composite
12.4,13.8,2.48,20.0,0.116,Boron Nitride Nanotube Composite
5.1,21.9,4.72,3.18,0.422,Graphene Nanoplatelet Thermal Interface Material
10.5,22.8,3.95,16.4,0.306,Graphene Nanoplatelet Thermal Interface Material
5.16,22.2,4.02,7.82,0.284,Reinforced Carbon-Carbon (RCC) Shield Tile
6.87,21.9,2.25,13.3,0.0915,Boron Nitride Nanotube Composite
7.18,21.6,2.81,13.9,0.149,Graphene-Coated Carbon Fiber Sheet
10.9,22.6,1.85,17.2,0.0656,Graphene-Coated Carbon Fiber Sheet
8.17,22.1,6.18,13.5,0.665,Reinforced Carbon-Carbon (RCC) Shield Tile
12.9,13.9,3.64,20.1,0.263,Reinforced Carbon-Carbon (RCC) Shield Tile
5.19,21.4,5.93,6.92,0.644,Silicon Oxycarbide Shield Tile
6.78,21.8,1.93,13.3,0.0678,Diamond-Like Carbon (DLC) Coated Radiator
5.99,22.6,2.34,10.9,0.102,Boron Nitride Nanotube Composite
12.9,22.9,0.653,18.3,0.00861,Zirconium Dioxide Ceramic Heat Sink
14.7,18.9,5.37,20.0,0.624,Boron Nitride Nanotube Composite
7.46,21.8,8.99,1.11,1.69,Phenolic Impregnated Carbon Ablator (PICA)
6.67,19.1,5.04,13.9,0.486,Phenolic Impregnated Carbon Ablator (PICA)
5.56,22.3,3.2,0.518,0.185,Silicon Oxycarbide Shield Tile
12.5,16.7,2.21,20.1,0.104,Boron Nitride Nanotube Composite
13.7,18.9,3.97,20.0,0.296,Boron Nitride Nanotube Composite
6.97,20.2,5.42,13.6,0.589,Diamond-Like Carbon (DLC) Coated Radiator
12.6,14.0,4.1,19.9,0.349,Boron Nitride Nanotube Composite
6.75,22.5,3.47,12.3,0.223,Graphene Nanoplatelet Thermal Interface Material
5.7,21.1,3.88,11.4,0.327,Diamond-Like Carbon (DLC) Coated Radiator
5.06,22.8,2.45,3.32,0.112,Graphene Nanoplatelet Thermal Interface Material
6.88,22.5,3.0,12.7,0.169,Phenolic Impregnated Carbon Ablator (PICA)
9.72,21.3,3.07,16.9,0.169,Reinforced Carbon-Carbon (RCC) Shield Tile
5.88,21.2,5.36,10.8,0.717,Boron Nitride Nanotube Composite
6.66,15.5,4.68,14.9,0.547,Boron Nitride Nanotube Composite
10.1,21.7,5.7,16.2,0.755,Reinforced Carbon-Carbon (RCC) Shield Tile
19.4,13.6,1.43,21.8,0.039,Zirconium Dioxide Ceramic Heat Sink
3.98,16.9,6.0,6.79,0.663,Phenolic Impregnated Carbon Ablator (PICA)
5.95,22.5,6.72,6.21,1.38,Graphene Nanoplatelet Thermal Interface Material
5.37,22.3,5.47,3.81,0.549,Graphene-Coated Carbon Fiber Sheet
9.78,17.6,3.27,18.2,0.217,Boron Nitride Nanotube Composite
4.35,20.5,4.43,3.64,0.368,Boron Nitride Nanotube Composite
4.25,20.9,2.36,2.95,0.103,Graphene-Coated Carbon Fiber Sheet
5.3,22.7,2.56,8.69,0.115,Boron Nitride Nanotube Composite
5.2,22.8,4.17,5.22,0.304,Graphene-Coated Carbon Fiber Sheet
14.0,20.3,2.04,20.0,0.0864,Graphene-Coated Carbon Fiber Sheet
4.99,22.6,2.68,3.12,0.132,Boron Nitride Nanotube Composite
4.69,19.0,4.62,0.187,0.584,Boron Nitride Nanotube Composite
9.56,22.2,2.92,16.3,0.171,Graphene Nanoplatelet Thermal Interface Material
5.84,22.4,4.25,10.1,0.342,Phenolic Impregnated Carbon Ablator (PICA)
